Date,NG1 Comdty,HO1 Comdty,QS1 Comdty,GC1 Comdty,SI1 Comdty,HG1 Comdty,LMCADS03 Comdty,LMAHDS03 Comdty,LMZSDS03 Comdty,LMSNDS03 Comdty,C 1 Comdty,W 1 Comdty,O 1 Comdty,S 1 Comdty,SM1 Comdty
12/5/1991,-0.028324532,-0.017072766,-0.008130081,0.006299644,0.005494505,-0.020387867,0.005111878,0.001818182,-0.016542597,0,-0.002087683,0.00384369,0.001968504,-0.00888494,-0.008013738
12/6/1991,-0.022233202,-0.036424958,-0.013661202,0.005443658,-0.001241927,0.004060914,-0.000223065,0.00907441,-0.005046257,0.003616637,-0.007322176,-0.016592214,-0.011787819,-0.004482295,0.001154068
12/9/1991,-0.020212228,-0.047252363,-0.04432133,-0.000270709,-0.002486944,-0.002527806,-0.010620259,0.000899281,-0.01183432,-0.001801802,0.006322445,0,0.007952286,-0.002251238,-0.001152738
12/10/1991,-0.004641568,0.009919177,-0.008695652,-0.00108313,-0.008227375,-0.013177902,-0.01565037,-0.007637017,-0.005988024,-0.001444043,0.007329843,-0.005840363,-0.00591716,-0.010830325,-0.011540681
12/11/1991,-0.040932642,0.014550746,-0.005847953,-0.006234752,-0.017094017,0.004622496,0.00696449,0.006790403,0.004302926,0.006326826,0.001039501,0.020234987,0.003968254,0.000456204,-0.003502627
12/12/1991,0.011885467,0.013804231,0.023529412,-0.023458811,-0.022506394,0,-0.002957638,0.025179856,-0.005141388,-0.00035926,0.00623053,-0.007677543,0.003952569,-0.007751938,-0.008201523
12/13/1991,-0.019754405,0.011140584,0.05316092,0.003910615,0.003401361,-0.000511247,-0.004289887,-0.018859649,-0.015934539,-0.000539084,0.025799794,0.010315925,0.019685039,0.016544118,0.015948021
12/16/1991,-0.001089325,-0.005946135,-0.025920873,-0.001112966,-0.003129074,0.001023018,-0.003116693,0.002682164,-0.036323851,-0.005753326,-0.001006036,0.028079132,0.003861004,-0.004068716,-0.003488372
12/17/1991,-0.004907306,-0.017769177,-0.016806723,-0.004735376,0.002092597,0.003065917,-0.001103448,0.00891663,0.010899183,0,0.002014099,0.00744879,-0.003846154,0,0.001166861
12/18/1991,-0.032876712,-0.019881784,-0.00997151,0.004757907,-0.000261028,-0.000509424,0.007272393,-0.000883783,-0.017070979,0.003254973,0.010050251,-0.006777572,0,0.003631412,0.013403263
12/19/1991,-0.032294618,-0.023026316,0.007194245,-0.005013928,-0.00078329,-0.011213048,0,-0.004865104,0.000457038,0.003064167,0,0.009305211,0,0.000452284,0.014376078
12/20/1991,-0.007611241,-0.044519267,-0.038571429,0.003919373,0.003135615,-0.002061856,0.017775544,0.002222222,0.015532206,0.002695418,0.009950249,-0.03995083,0.042471042,0.006781193,-0.015873016
12/23/1991,-0.175811209,0.014878622,-0.014858841,0.001952036,0.01562907,0.006198347,-0.000897948,0.00443459,0.000449843,0.001792115,0.003940887,0.020486556,0.02962963,0.012572968,0.010368664
