Date,SPGCCLP Index,SPGCHUP Index,SPGCNGP Index,SPGCGOP Index,SPGCHOP Index,SPGCGCP Index,SPGCSIP Index,SPGCCNP Index,SPGCWHP Index,SPGCKCP Index,SPGCSBP Index,SPGCILP Index,SPGCIKP Index,SPGCIAP Index,SPGCICP Index,SPGCIZP Index
1994-06-03,0.0,0.13735065551465675,0.0,0.0,0.0,0.0,0.0,0.23189028309034498,0.0,-0.02725148078313141,0.0,0.0,-0.13237131720704237,0.0,-0.16050435650865227,0.31063190646135935
1994-06-06,0.0,0.1420863478855755,0.0,0.0,0.0,0.0,0.0,0.2294286571314102,0.0,-0.0256093054108174,0.0,0.0,-0.13501035898101396,0.0,-0.16044045150683905,0.307424879084344
1994-06-07,0.0,0.14665529022851723,0.0,0.0,0.0,0.0,0.0,0.23745671868845725,0.0,-0.018524990927044953,0.0,0.0,-0.14091263118886066,0.0,-0.1422929044062912,0.3141574645608287
1994-06-08,0.0,0.14581854917199222,0.0,0.0,0.0,0.0,0.0,0.2411224424421693,0.0,-0.02026589502662554,0.0,0.0,-0.13602764766955813,0.0,-0.13945892934362733,0.3173065363460274
1994-06-09,0.0,0.14282033173147524,0.0,0.0,0.0,0.0,0.0,0.24075030942981254,0.0,-0.021815743408442664,0.0,0.0,-0.13705108746125505,0.0,-0.13999311598321873,0.31756941198579575
1994-06-10,0.0,0.13895487670878723,0.0,0.0,0.0,0.0,0.0,0.24199384906266763,0.0,-0.024550829201209247,0.0,0.0,-0.1344705143862805,0.0,-0.14151073845155743,0.31851919218949803
1994-06-13,0.0,0.14051158988726267,0.0,0.0,0.0,0.0,0.0,0.24337130658758663,0.0,-0.020874127936348554,0.0,0.0,-0.136786563995059,0.0,-0.1352442124265809,0.3232121987329117
1994-06-14,0.0,0.1294376739290275,0.0,0.0,0.0,0.0,0.0,0.2404844427478233,0.0,-0.03273096660582277,0.0,0.0,-0.1319147614927913,0.0,-0.14235954833712655,0.32307260646976294
1994-06-15,0.0,0.1157245464550368,0.0,0.0,0.0,0.0,0.0,0.2386772745127388,0.0,-0.04072693608330977,0.0,0.0,-0.1289509865359618,0.0,-0.1578749072256361,0.31804534918731675
1994-06-16,0.0,0.11784067153555228,0.0,0.0,0.0,0.0,0.0,0.24030393766796532,0.0,-0.038635660549713846,0.0,0.0,-0.13004816642428088,0.0,-0.15541739749779673,0.31775416632469095
1994-06-17,0.0,0.10462460184189877,0.0,0.0,0.0,0.0,0.0,0.2370641351048225,0.0,-0.04454881992155034,0.0,0.0,-0.1334713636945253,0.0,-0.1674447143696537,0.31284636506754937
1994-06-20,0.0,0.11822168237852469,0.0,0.0,0.0,0.0,0.0,0.23457688910713756,0.0,-0.03829345102560164,0.0,0.0,-0.1361102662682017,0.0,-0.1609845676801249,0.31181314354040945
1994-06-21,0.0,0.1334519553321547,0.0,0.0,0.0,0.0,0.0,0.22869891568893647,0.0,-0.02726529613664839,0.0,0.0,-0.14130054530598585,0.0,-0.15121756345074017,0.31806572369068503
1994-06-22,0.0,0.15252146003509265,0.0,0.0,0.0,0.0,0.0,0.21876195612229118,0.0,-0.018655294045480393,0.0,0.0,-0.15147940226643883,0.0,-0.13649606675093784,0.32208582038651584
1994-06-23,0.0,0.153258661001489,0.0,0.0,0.0,0.0,0.0,0.21859133036102327,0.0,-0.020307122020640153,0.0,0.0,-0.15138289728047274,0.0,-0.14135384001746484,0.3151061493189099
1994-06-24,0.0,0.15182063499724877,0.0,0.0,0.0,0.0,0.0,0.21868587641490972,0.0,-0.020768653996648373,0.0,0.0,-0.15127169979150884,0.0,-0.1424917775520175,0.31496135764845523
1994-06-27,0.0,0.13987315817532406,0.0,0.0,0.0,0.0,0.0,0.18360648567909707,0.0,1.8550021544869177e-19,0.0,0.0,-0.16528915887221304,0.0,-0.13036945446939774,0.3808617428039681
1994-06-28,0.0,0.12448485092765461,0.0,0.0,0.0,0.0,0.0,0.21415030391607282,0.0,-0.008143796932348658,0.0,0.0,-0.15749705598753472,0.0,-0.16033914012659495,0.33538485210979413
1994-06-29,0.0,0.14145832792426224,0.0,0.0,0.0,0.0,0.0,0.15633691853142148,0.0,-1.1426474458460512e-18,0.0,0.0,-0.1635643387019807,0.0,-0.1354494244901535,0.40319099035218203
1994-06-30,0.0,0.12309351819485215,0.0,0.0,0.0,0.0,0.0,0.15869609474808288,0.0,1.0316861297557378e-18,0.0,0.0,-0.16243047892951712,0.0,-0.14424262732282125,0.4115372808047266
1994-07-01,0.0,0.14520943167121858,0.0,0.0,0.0,0.0,0.0,0.10784753799923184,0.0,-2.202285662861181e-20,0.0,0.0,-0.2036972112413735,0.0,-0.1238889954648016,0.4193568236233745
1994-07-05,0.0,0.14508152480560416,0.0,0.0,0.0,0.0,0.0,0.09218872456160204,0.0,8.724439356719293e-20,0.0,0.0,-0.21325244914134725,0.0,-0.12434243313135579,0.42513486836009085
1994-07-06,0.0,0.16917236207250738,0.0,0.0,0.0,0.0,0.0,0.14023419384886116,0.0,-9.317362419797304e-20,0.0,0.0,-0.1725714284394536,0.0,-0.11610498912197262,0.40191702651720523
1994-07-07,0.0,0.1572707290535082,0.0,0.0,0.0,0.0,0.0,0.07121665015007791,0.0,0.0,0.0,0.0,-0.22012765726099096,0.0,-0.11681535128159609,0.4345696122538268
1994-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9229584832508166e-17,0.012490374681429415,-7.995410073187632e-18,0.0,0.0,-0.48750962531857067,0.0,7.417684045185862e-18,0.5
1994-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3266242618070912e-18,0.02935788045998288,-1.7992206907158857e-18,0.0,0.0,-0.47064211954001706,0.0,2.5774859122061062e-18,0.5
1994-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.381809058572212e-17,0.49999999988692695,7.210573025494721e-18,0.0,0.0,0.0,2.885534716919876e-18,1.734723475976807e-17,0.5
1994-07-13,2.539002074122228e-18,0.0,0.0,0.0,0.0,0.0,0.0,-3.734819996772433e-17,0.49999999999999994,-6.58206025665548e-18,0.0,0.0,0.0,0.0,-3.9602274931604953e-10,0.5
1994-07-14,9.898085484605282e-18,0.0,0.0,0.0,0.0,0.0,0.0,7.051868373533175e-18,0.49999999916290083,-8.535753941982303e-18,0.0,0.0,0.0,0.0,0.0,0.5
1994-07-15,-3.149459336994564e-18,0.0,0.0,0.0,0.0,0.0,0.0,6.342931486603448e-17,0.5,4.5162303387495914e-18,0.0,0.0,0.0,0.0,0.0,0.5
1994-07-18,1.9405611986372834e-18,0.0,0.0,0.0,0.0,0.0,0.0,-2.685801513863483e-17,0.5,3.0262716999540322e-18,0.0,0.0,0.0,0.0,-6.938893903907228e-18,0.5
1994-07-19,2.4604063671302183e-18,0.0,0.0,0.0,0.0,0.0,0.0,5.127668705340176e-18,0.5,-1.7769033201712538e-18,0.0,0.0,0.0,0.0,4.336808689942018e-18,0.5
1994-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.242533652649483e-18,0.5,-3.543016469983407e-18,0.0,0.0,0.0,3.469446951953614e-18,3.717193285599211e-18,0.5
1994-07-21,8.810784814598846e-18,0.0,0.0,0.0,0.0,0.0,0.0,2.4485979346860014e-17,0.4999999999999999,-1.682376560076697e-18,0.0,0.0,0.0,0.0,-4.163336342344337e-17,0.5
1994-07-22,-1.1518639871909701e-17,0.0,0.0,0.0,0.0,0.0,0.0,-7.316725880378216e-17,0.49999999984643484,8.72233979104535e-18,0.0,0.0,0.0,0.0,-6.938893903907228e-17,0.5
1994-07-25,-5.199988209824278e-18,0.0,0.0,0.0,0.0,0.0,0.0,-8.288135313409632e-18,0.5,8.493886237752197e-19,0.0,0.0,0.0,0.0,-1.3877787807814457e-17,0.5
1994-07-26,-6.47416662886804e-18,0.0,0.0,0.0,0.0,0.0,0.0,7.709530584219948e-18,0.49999999999999994,2.627965250966286e-18,0.0,0.0,0.0,0.0,1.5612511283791264e-17,0.5
1994-07-27,7.830376261751207e-18,0.0,0.0,0.0,0.0,0.0,0.0,5.2694574815856755e-17,0.5,-7.32428093474854e-18,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.4999999998179024
1994-07-28,-1.3021470041891531e-17,0.0,0.0,0.0,0.0,0.0,0.0,2.208745230458335e-17,0.5,1.5160723385319598e-17,0.0,0.0,0.0,0.0,6.071532165918825e-18,0.5
1994-07-29,-1.6558754575640677e-17,0.0,0.0,0.0,0.0,0.0,0.0,3.5509771933353737e-17,0.4999999999999998,2.0189044428050477e-17,0.0,0.0,0.0,0.0,-1.734723475976807e-18,0.5
1994-08-01,2.301661350897531e-17,0.0,0.0,0.0,0.0,0.0,0.0,-4.8805096526272666e-17,0.49999999999999994,-1.9889731837463182e-17,0.0,0.0,0.0,0.0,-3.469446951953614e-17,0.5
1994-08-02,-3.666204218431991e-18,0.0,0.0,0.0,0.0,0.0,0.0,3.682923581914265e-17,0.49999999999999994,9.432187652564153e-19,0.0,0.0,0.0,0.0,2.168404344971009e-18,0.5
1994-08-03,1.590087199012712e-17,0.0,0.0,0.0,0.0,0.0,0.0,-4.1197791682405606e-17,0.5,-1.0024746151891289e-18,0.0,0.0,0.0,0.0,-0.011407560127533772,0.4885924398724663
1994-08-04,4.8626636379074675e-18,0.0,0.0,0.0,0.0,0.0,0.0,-3.1049162184004086e-17,0.4999999999999998,-2.457349888185592e-19,0.0,0.0,0.0,0.0,-4.163336342344337e-17,0.5
1994-08-05,2.5266902327975825e-19,0.0,0.0,0.0,0.0,0.0,0.0,4.620797422477773e-17,0.49999999999999994,1.9552853274031435e-18,0.0,0.0,0.0,0.0,0.0,0.49999999999999994
1994-08-08,1.8056105466606304e-18,0.0,0.0,0.0,0.0,0.0,0.0,-4.0896401106441826e-17,0.5,-2.2322886247951747e-18,0.0,0.0,0.0,0.0,0.0,0.5000000000000001
